H;X2;X3;Y;X1;Z;T;JS;JL;JH;GA;GB;GC;;[D];[B2];[B1];[B0];;H,km;Q(D);Q(B2);Q(B1);Q(B0);Q(A0)
150;2.43E+09;0.00E+00;1.35E+05;1.96E+10;3.00E+10;777.3;2.73E-06;5.65E-09;8.48E-03;5.38E-09;2.95E-10;7.94E-12;;5.17E+03;6.59E-02;1.19E+03;2.71E+03;;150;1.28E+00;2.93E-01;2.94E-01;8.96E-02;2.28E-04
149;2.58E+09;0.00E+00;1.80E+05;2.03E+10;3.16E+10;767.7;2.72E-06;5.65E-09;8.48E-03;5.38E-09;2.95E-10;7.94E-12;;5.21E+03;6.79E-02;1.23E+03;2.93E+03;;149;1.35E+00;3.02E-01;3.03E-01;8.97E-02;2.28E-04
148;2.74E+09;0.00E+00;2.48E+05;2.10E+10;3.34E+10;758.0;2.71E-06;5.65E-09;8.48E-03;5.38E-09;2.95E-10;7.94E-12;;5.25E+03;7.01E-02;1.28E+03;3.16E+03;;148;1.42E+00;3.10E-01;3.12E-01;8.97E-02;2.28E-04
147;2.91E+09;0.00E+00;3.41E+05;2.18E+10;3.53E+10;748.0;2.70E-06;5.65E-09;8.48E-03;5.38E-09;2.95E-10;7.94E-12;;5.28E+03;7.22E-02;1.33E+03;3.41E+03;;147;1.49E+00;3.20E-01;3.22E-01;8.98E-02;2.28E-04
146;3.10E+09;0.00E+00;4.54E+05;2.26E+10;3.73E+10;737.9;2.69E-06;5.65E-09;8.48E-03;5.38E-09;2.95E-10;7.94E-12;;5.32E+03;7.46E-02;1.39E+03;3.70E+03;;146;1.57E+00;3.30E-01;3.32E-01;8.99E-02;2.28E-04
145;3.31E+09;0.00E+00;5.86E+05;2.35E+10;3.95E+10;727.6;2.68E-06;5.65E-09;8.48E-03;5.38E-09;2.95E-10;7.94E-12;;5.36E+03;7.70E-02;1.45E+03;4.02E+03;;145;1.65E+00;3.41E-01;3.44E-01;9.00E-02;2.28E-04
144;3.54E+09;0.00E+00;7.31E+05;2.44E+10;4.19E+10;717.1;2.67E-06;5.65E-09;8.48E-03;5.38E-09;2.95E-10;7.94E-12;;5.41E+03;7.97E-02;1.51E+03;4.38E+03;;144;1.75E+00;3.52E-01;3.55E-01;9.00E-02;2.28E-04
143;3.78E+09;0.00E+00;8.89E+05;2.54E+10;4.44E+10;706.4;2.65E-06;5.65E-09;8.48E-03;5.38E-09;2.95E-10;7.94E-12;;5.44E+03;8.23E-02;1.57E+03;4.74E+03;;143;1.85E+00;3.65E-01;3.68E-01;9.01E-02;2.29E-04
142;4.05E+09;0.00E+00;1.06E+06;2.64E+10;4.72E+10;695.5;2.64E-06;5.65E-09;8.48E-03;5.38E-09;2.95E-10;7.94E-12;;5.48E+03;8.52E-02;1.64E+03;5.17E+03;;142;1.95E+00;3.77E-01;3.81E-01;9.02E-02;2.29E-04
141;4.35E+09;0.00E+00;1.23E+06;2.75E+10;5.02E+10;684.4;2.62E-06;5.65E-09;8.48E-03;5.38E-09;2.95E-10;7.94E-12;;5.52E+03;8.83E-02;1.71E+03;5.66E+03;;141;2.07E+00;3.91E-01;3.96E-01;9.03E-02;2.29E-04
140;4.45E+09;5.23E+00;1.41E+06;4.18E+10;5.90E+10;582.3;2.61E-06;5.65E-09;8.48E-03;5.38E-09;2.95E-10;7.94E-12;;4.36E+03;6.56E-02;1.30E+03;4.01E+03;;140;2.67E+00;5.39E-01;4.31E-01;9.15E-02;2.30E-04
139;4.79E+09;5.48E+00;1.65E+06;4.28E+10;6.23E+10;575.1;2.59E-06;5.65E-09;8.48E-03;5.38E-09;2.95E-10;7.94E-12;;4.45E+03;6.90E-02;1.38E+03;4.48E+03;;139;2.80E+00;5.52E-01;4.45E-01;9.15E-02;2.30E-04
138;5.27E+09;5.88E+00;1.95E+06;4.48E+10;6.73E+10;564.1;2.58E-06;5.65E-09;8.48E-03;5.38E-09;2.95E-10;7.94E-12;;4.53E+03;7.27E-02;1.48E+03;5.09E+03;;138;3.00E+00;5.76E-01;4.67E-01;9.17E-02;2.30E-04
