Parameter;Value;Rel. error;T-factor;
Parameter;A;Error;B;n
"K(D;X2)";3.10E-11;1.0E-01;87;
"K(D;X3)";2.40E-10;2.0E-01;;
"K(D;Y)";7.50E-11;1.0E-01;115;
"K(D;X1)";2.20E-11;2.7E-01;;
"K(D;Z)";2.20E-11;9.0E-02;118;
"K(B2;X2)";2.30E-11;2.5E-01;-691;
"K(B2;X3)";2.90E-10;4.0E-01;;
"K(B2;Y)";3.00E-12;9.0E-01;-158;
"K(B2;X1)";1.07E-11;6.0E-02;;
"K(B2;Z)";8.00E-15;4.0E-01;;
"K(B1;X2)";2.20E-11;4.0E-01;-115;1
"K(B1;X3)";;;;
"K(B1;Y)";9.00E-13;6.0E-01;;
"K(B1;X1)";4.50E-12;2.3E-01;;
"K(B1;Z)";;;;
"K(B0;X2)";3.90E-17;5.0E-01;;
"K(B0;X3)";3.50E-11;1.5E-01;-135;
"K(B0;Y)";4.20E-13;2.0E-01;;
"K(B0;X1)";8.00E-14;2.5E-01;;
"K(B0;Z)";1.80E-15;1.0E-01;45;
E1D;9.00E-03;;;
EB2;6.00E-02;;;
EB1;8.60E-02;;;
EB0;8.80E-02;;;
EA0;2.26E-04;;;
F(Ly);4.40E-01;3.00E-01;;
F(1D);9.00E-01;1.00E-02;;
F(B1);8.00E-01;1.25E-01;;
F(B0);2.00E-01;5.00E-01;;
